NationalGridBmUnit,lat,lon,capacity,carrier
IBG-EGEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENGI1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-RSQ1,51.46000000000001,0.6530000000000001,0.0,interconnector
IVD-VKL1,52.931,-0.221,0.0,interconnector
IVG-VKL1,52.931,-0.221,0.0,interconnector
BFSE01,52.585,-1.22,50.0,battery
RSCRB-1,distributed,distributed,0.0,demand_flex
AG-HLIM01,51.598,-1.494,60.0,battery
AG-HLIM02,50.852,-1.194,60.0,battery
AG-HLIM03,51.616,-1.99,100.0,battery
AG-HLIM04,51.598,-1.494,100.0,battery
BRGDG-1,53.540993,-0.508006,50.0,fossil
AG-MFLX02,53.398,-1.247,50.0,battery
AG-NHAV02,55.803,-3.781,0.0,fossil
CMSTW-1,58.406935,-3.270129,50.0,onwind
ROTHW-1,57.53,-3.36,0.0,onwind
PAUHW-1,57.451933,-3.458196,65.0,onwind
AG-PFLX01,56.412,-3.423,49.9,battery
NSC-ATL01,57.468,-4.491,0.0,hydro
LCSMH-1,56.829,-5.073,88.0,cascade
KNLCV-1,56.7129,-4.95803,24.0,hydro
CAIRW-2,57.504968,-3.063895,0.0,onwind
MDHLW-1,56.964685,-2.482026,75.9,onwind
TMNCW-1,57.391,-3.9,39.0,onwind
DRAXD-2,53.7358,-0.996389,3960.0,biomass
ABERU-1,53.090486,-1.270137,10.0,fossil
ABRTW-1,58.430482,-4.372559,36.0,onwind
AIRSW-1,55.51487,-3.814161,35.0,onwind
ARNKB-2,51.484,0.344,49.9,battery
ASHWW-1,56.065903,-5.449219,35.0,onwind
ASLVW-1,55.621764,-3.988675,25.0,onwind
BABAW-1,53.983333,-3.283333,52.5,onwind
BARNB-1,53.558,-1.457,40.0,battery
BETHW-1,57.36209,-3.966064,29.0,onwind
BHOLB-1,50.721,-1.998,7.5,battery
BLARW-1,55.564,-5.636,35.0,onwind
BNWKW-1,58.351973,-3.21433,22.5,onwind
BRDUW-1,55.255156,-4.141234,72.0,onwind
BRGG-1,53.442264,-0.32959,0.0,fossil
BRIDU-1,54.086555,-0.203475,0.0,fossil
BRNLW-1,53.487739,-3.19582,7.5,onwind
BROAB-1,51.413,0.33,11.0,battery
BROFB-1,52.074,1.05,50.0,battery
BRYBW-1,57.22303,-4.668919,66.7,onwind
BTUIW-2,57.17555556,-4.789059,118.0,onwind
BTUIW-3,57.17555556,-4.789059,118.0,onwind
BURBW-1,53.484,-3.273,348.0,offwind
BURWB-1,52.279,0.316,50.0,battery
CHAPB-1,51.9266,-0.4963,49.5,battery
CLAC-1,56.277573,-4.918736,40.0,hydro
CLAYB-1,51.552,0.298,99.0,battery
CLAYB-2,51.552,0.298,99.0,battery
CLFLW-1,56.283062,-4.957855,15.0,onwind
CONTB-1,50.95526,-0.162756,34.0,battery
CORB-1,52.247983,-0.86792,350.0,fossil
COWE1,50.373496,-5.064697,140.0,fossil
COWE2,50.373496,-5.064697,140.0,fossil
CROYD-2,51.37644,-0.11637,0.0,fossil
CRSSB-1,53.481,-2.959,20.0,battery
DALSW-1,55.183662,-3.662819,30.0,onwind
DBFRM-1,50.861673,-1.153879,19.5,fossil
DERW-1,52.905812,-1.399444,0.0,fossil
DIDC01G,51.62363,-1.26757,0.0,fossil
DIDC02G,51.62363,-1.26757,0.0,fossil
DIDC03G,51.62363,-1.26757,0.0,fossil
DIDC04G,51.62363,-1.26757,0.0,fossil
FASN3,57.325887,-4.793703,69.0,hydro
FASN-4,57.325887,-4.793703,69.0,hydro
FAWN-1,50.830367,-1.351433,0.0,fossil
FDUNT-1,53.071393,-1.349033,100.0,fossil
FELL-1,50.830367,-1.351433,0.0,fossil
GDSTW-1,57.460944,-2.484139,12.5,onwind
GFLDW-1,53.668356,-0.872421,32.8,onwind
GLCHW-1,54.96342,-4.754334,27.5,onwind
GLOFW-1,57.219608,-2.878418,26.0,onwind
GRGRW-1,55.904,-3.889,36.0,onwind
GYAR-1,52.596375,1.625977,430.0,fossil
HBHDW-1,55.815259,-3.547456,51.7,onwind
HLGLW-1,57.51052,-3.615587,27.6,onwind
HLTWW-1,57.486309,-2.406006,48.0,onwind
HRHLW-1,55.405691,-4.054104,43.0,onwind
HYWDW-1,57.483,-1.35,30.0,offwind
ILMEB-1,51.741,-0.892,49.0,battery
JAMBB-1,56.341,-3.294,49.0,battery
KINCW-1,57.0046,-1.8596,50.0,offwind
KLYN-A-1,52.727256,0.380117,0.0,fossil
LITRB-1,56.104,-3.33,49.5,battery
LNMTH-1,55.20417,-1.52083,420.0,fossil
LNMTH-2,55.20417,-1.52083,420.0,fossil
LNMTH-3,55.20417,-1.52083,420.0,fossil
MANXENR-1,51.74139,0.89694,0.0,load
MARK-1,57.480403,-3.603516,55.0,biomass
MDLWH-1,53.18726,-2.42461,0.0,fossil
MINSW-1,55.040614,-3.47168,36.8,onwind
MOYEW-1,57.390303,-4.064872,66.0,onwind
NEWTB-1,53.138,-1.327,50.0,battery
PETEM1,52.57694,-0.204697,245.0,fossil
PETDG-1,52.575703,-0.2037977,50.0,fossil
PILLB-1,53.796,-0.407,98.0,battery
PILLB-2,53.796,-0.407,98.0,battery
RHEI-4,52.396,-3.9,49.0,hydro
ROOSB-1,54.105,-3.189,49.0,battery
SEVIU-1,51.5877364,-2.9983234,10.0,fossil
SHOS-1,50.882243,-0.252686,0.0,fossil
SKELB-1,53.553,-2.775,50.0,battery
SOLUU-1,50.7459,-1.2664,0.0,fossil
TAYL2G,51.546,-0.2575,140.0,fossil
TAYL3G,51.546,-0.2575,140.0,fossil
TIBG-1,51.459,0.389,0.0,biomass
THMRB-1,51.766,-0.894,49.0,battery
THRNL-1,53.677222222222,-1.6547222222222,40.0,fossil
TOLLB-1,51.735,-0.245,49.5,battery
TULWW-1,56.662265,-2.581787,42.5,onwind
TULWW-2,56.662265,-2.581787,42.5,onwind
VKING-2,54.6067,-1.20268,50.0,fossil
I2D-ALEU1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ALIP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ARON1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-AXPO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-BDEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-BKWE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-BNPS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-BPGM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CBST1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CENT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CEZC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CNGS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CNRE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CONS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-CONV1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-COPN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DARE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DMCC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DSKC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DUGE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-DVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-EDFT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-EDMK1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ELEE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ELTR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ENKI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ENSC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ENSP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-ENTC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-EPCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-EZCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-GASE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-GAZP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-GLEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-GRMT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-HART1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-HELI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-IBES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-INCM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-MCRA1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-MFTE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-MQBN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NEAS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NEHO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NITR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NORL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NTPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-NVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-OMPX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-OPMX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-OUTL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-PLAN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-PREP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-PWMR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-QUAR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-QUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-RESP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-RISQ1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-RWES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-SETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-SSEG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-STAT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TGPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TRFD1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TRFG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-TRLS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VOLT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VSAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-VTET1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2D-XNON1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ALEU1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ALIP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ARON1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-AXPO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BDEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BKWE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BNPS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-BPGM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CBST1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CENT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CEZC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CNGS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CNRE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CONS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-CONV1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-COPN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DARE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DMCC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DSKC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DUGE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-DVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EDFT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EDMK1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ELEE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ELTR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENKI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENSC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENSP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-ENTC1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EPCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-EZCO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GASE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GAZP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GLEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-GRMT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-HART1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-HELI1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-IBES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-INCM1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MCRA1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MFTE1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-MQBN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NEAS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NEHO1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NITR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NORL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NTPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-NVAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OMPX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OPMX1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-OUTL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PLAN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PREP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-PWMR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-QUAR1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-QUEN1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RESP1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RISQ1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-RWES1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-SETL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-SSEG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-STAT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TGPL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRFD1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRFG1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-TRLS1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VOLT1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VSAL1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-VTET1,51.808076923076925,0.8645384615384615,0.0,interconnector
I2G-XNON1,51.808076923076925,0.8645384615384615,0.0,interconnector
IBD-DARE1,51.46,0.653,0.0,interconnector
IBG-ALIP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ALPE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BDEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BKWE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BPGE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-BRTN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CACM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CBST1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CENT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CETA1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CEZC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CGML1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CNGS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CONS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-CONV1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-COPN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DARE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DMCC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DNGN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DSKC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DUFE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-DVAL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EDFT1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EDMK1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EGLE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ELEE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ELTR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENEL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENET1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENGM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENSP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ENTC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EOET1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EPCO1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-ERVA1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-EZCO1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-FPCD1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-GAZP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-GLEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-HART1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-HELI1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-IBES1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-IDCE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-INCM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-KCST1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-LTFD1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MCRA1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MFTE1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-MONL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NEAS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NITR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NORL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-NTPL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OMPX1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OPMX1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-OUTL1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PETC1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PTRS1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PWMR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-PZEM1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-QUAR1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-QUEN1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-RESP1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-RWES1,51.46000000000001,0.6530000000000001,0.0,interconnector
IBG-SETL1,51.46000000000001,0.6530000000000001,0.0,interconnector
