converter_id,bus0,bus1,voltage,p_nom,geometry
conv-relation/10629005,relation/10629005,relation/10629005-400,300,700,'LINESTRING (15.853991714108142 56.767083272433375, 15.853991714108187 56.76708327427821)'
conv-relation/10695345,relation/10695345,relation/10695345-400,400,1000,'LINESTRING (1.3456388979917795 51.3098781414565, 1.3456388979917684 51.30987814424089)'
conv-relation/11981383,relation/11981383,relation/8894066-420,450,700,'LINESTRING (6.865913763398876 58.282510422352445, 6.848224705554573 58.27622463397408)'
conv-relation/12832053,relation/12832053,relation/12832053-420,515,1400,'LINESTRING (6.654776609920736 59.530100593739064, 6.654956104800672 59.52990729398316)'
conv-relation/14939275,relation/14939275,relation/14939275-400,450,600,'LINESTRING (14.84028235523815 56.153014740700364, 14.840282355238154 56.15301474262474)'
conv-relation/7928148,relation/7928148,relation/7928148-420,500,1640,'LINESTRING (7.900400664968465 58.259749812088664, 7.9005754406029824 58.25984794935619)'
conv-relation/8890887,relation/8890887,relation/8890887-420,525,1400,'LINESTRING (6.7544309946114405 58.669060406684764, 6.753734136337635 58.66987420117838)'
conv-way/103386958,way/103386958,way/103386958-380,400,500,'LINESTRING (18.1307852664905 40.16412834288651, 18.130649762049586 40.16404321510287)'
conv-way/1078532568,way/1078532568,way/1078532568-400,525,1400,'LINESTRING (-0.2365005345670103 52.9209925331145, -0.2366345394689085 52.92088491851833)'
conv-way/109189896,way/109189896,way/143783006-400,450,1000,'LINESTRING (0.7161575436002887 51.44049829914561, 0.7154747178344087 51.44475983920318)'
conv-way/1101832649,way/1101832649,way/1101832649-400,525,1400,'LINESTRING (9.1679769052874 55.505082071601, 9.166902132447941 55.50477998599194)'
conv-way/1158716725,way/1158716725,way/1158716725-380,500,1000,'LINESTRING (12.806985991114674 41.42980383291617, 12.806917359340522 41.42904030788352)'
conv-way/1258230090,way/1258230090,way/1258230062-380,320,1000,'LINESTRING (5.667676318778776 50.752997470761166, 5.668251720879107 50.75449334222949)'
conv-way/1262323677,way/1262323677,way/27674611-400,150,350,'LINESTRING (24.55164507361117 60.2037477147384, 24.550466328157118 60.205036905524295)'
conv-way/1262324052,way/1262324052,way/34968224-330,150,350,'LINESTRING (24.559909084448307 59.384917628530296, 24.559435860445696 59.383621652159675)'
conv-way/1262971878,way/1262971878,way/1262971878-275,320,1800,'LINESTRING (-3.452184943694071 58.47996790376149, -3.4519740787330475 58.479187912905694)'
conv-way/1265528535,way/1265528535,way/1265528535-330,450,650,'LINESTRING (27.068157587798307 59.370477792033086, 27.065908177545776 59.36888204830358)'
conv-way/1265541077,way/1265541077,way/1265541077-400,300,1200,'LINESTRING (14.655343792486 57.74793282640782, 14.656427636494929 57.74873715107569)'
conv-way/1271288346,way/1271288346,way/1271288345-400,270,2000,'LINESTRING (1.7820027522149031 50.90345900241787, 1.7833534879190611 50.90279809063725)'
conv-way/1271587268,way/1271587268,way/330079127-400,350,940,'LINESTRING (9.566189756251017 56.47949633953996, 9.566672107736062 56.47798038703374)'
conv-way/1271587272,way/1271587272,way/330079127-400,500,700,'LINESTRING (9.56421599658554 56.47842834956438, 9.566672107736062 56.47798038703374)'
conv-way/1275744416,way/1275744416,way/1275744416-400,500,800,'LINESTRING (17.063499290470876 60.425539004588266, 17.061833629882727 60.42510324934678)'
conv-way/1275744419,way/1275744419,way/1275744419-400,500,1300,'LINESTRING (21.626137663639852 61.152109048186276, 21.624219302700272 61.15248297906163)'
conv-way/1302589312,way/1302589312,way/28390455-400,450,600,'LINESTRING (13.146260139778773 55.50067450660604, 13.145263683474314 55.50211847089152)'
conv-way/131323212,way/131323212,way/347643820-220,250,400,'LINESTRING (2.5063699330963236 39.53390099135345, 2.5092145861659554 39.5362341451124)'
conv-way/136762727,way/136762727,way/136762727-380,200,300,'LINESTRING (8.713917011839937 40.652049127100376, 8.712467917207473 40.65233877202543)'
conv-way/136789074,way/136789074,way/100253768-380,200,300,'LINESTRING (10.694485729459018 43.05186024026141, 10.69615529009575 43.05180355974393)'
conv-way/137050527,way/137050527,way/137050527-275,500,500,'LINESTRING (-5.770469013098239 54.84320148529032, -5.7703440335367775 54.84331485406556)'
conv-way/140248140,way/140248140,way/279842937-400,150,260,'LINESTRING (16.648013230805166 57.72834639732706, 16.65304273517964 57.41592223986243)'
conv-way/140248147,way/140248147,way/80702333-400,400,500,'LINESTRING (18.13630280912289 60.404035880206585, 18.157966936453278 60.39872059723737)'
conv-way/140248148,way/140248148,way/140248148-400,400,500,'LINESTRING (20.964087730673562 39.184286085693955, 20.964087730673562 39.18428609292838)'
conv-way/142321228,way/142321228,way/142321228-400,400,600,'LINESTRING (12.0074143643741 55.45030397887522, 12.006245620674173 55.45159891302852)'
conv-way/148382435,way/148382435,way/148382435-275,500,500,'LINESTRING (-4.9807507247075335 55.069699109091, -4.980622976239217 55.06981172261623)'
conv-way/156435509,way/156435509,way/77654729-400,250,400,'LINESTRING (-0.2354476169104305 39.64108480222209, -0.235907165680082 39.6417402921115)'
conv-way/158601617,way/158601617,way/942640207-380,450,700,'LINESTRING (6.866264187775912 53.43462812475893, 6.86857117953898 53.437400544365346)'
conv-way/160792651,way/160792651,way/160792651-400,400,600,'LINESTRING (11.314786918874614 55.53177506799542, 11.314786918874615 55.53177507000618)'
conv-way/203225567,way/203225567,way/409439916-380,500,1000,'LINESTRING (8.306507186431089 40.84110865715793, 8.30588066879918 40.843578536833604)'
conv-way/23281217,way/23281217,way/23281217-400,270,2000,'LINESTRING (0.9751194497786296 51.105578116437876, 0.9752363053510982 51.1059427193376)'
conv-way/235724487,way/235724487,way/1265541078-400,300,1200,'LINESTRING (13.602700641945273 55.83139197914376, 13.602892660978267 55.831489695809026)'
conv-way/24534144,way/24534144,way/24534144-400,300,680,'LINESTRING (12.110848321065129 57.60605637137352, 12.110848321065127 57.60605637311861)'
conv-way/255314292,way/255314292,relation/18085709-400,450,600,'LINESTRING (16.89038355962467 54.50215260847132, 16.8912093855503 54.50138089253254)'
conv-way/256334221,way/256334221,way/340399370-400,320,2000,'LINESTRING (2.9442519990141243 42.230385376033, 2.9466607665695324 42.23006934571774)'
conv-way/260836695,way/260836695,way/254158424-400,400,500,'LINESTRING (-6.567545295690898 53.47122516126938, -6.569480676714955 53.47481857516463)'
conv-way/26619335,way/26619335,way/26619335-400,450,650,'LINESTRING (25.367309680105414 60.37763622728451, 25.367309680105446 60.377636228761816)'
conv-way/275466323,way/275466323,way/275466323-380,450,600,'LINESTRING (10.80243095002194 53.896137594151604, 10.802357662207688 53.896630028497604)'
conv-way/297840585,way/297840585,way/297840585-400,600,2250,'LINESTRING (-4.894821189854914 55.718036768358985, -4.894711934965643 55.717916986062754)'
conv-way/312728271,way/312728271,way/312728271-400,320,2000,'LINESTRING (2.8013989585839205 42.730937367741795, 2.8028191938710916 42.73220348599344)'
conv-way/375626500,way/375626500,way/375626500-400,600,2250,'LINESTRING (-3.0325941174955027 53.23046268805612, -3.032722036000424 53.2303521092484)'
conv-way/500788534,way/500788534,way/500788534-380,400,1000,'LINESTRING (3.2097203853314906 51.265068493245366, 3.209720385331474 51.26506849603994)'
conv-way/525964617,way/525964617,way/525964629-380,525,1400,'LINESTRING (9.344343509608048 53.91920526002526, 9.34151417652635 53.9232606088432)'
conv-way/536905500,way/536905500,way/536905500-400,400,500,'LINESTRING (-3.0503636016203877 53.23659159516763, -3.0503636016203832 53.23659159755567)'
conv-way/568527671,way/568527671,way/166703766-400,320,1200,'LINESTRING (-2.9504139962807976 57.52117496701186, -2.947945142649245 57.52284555923156)'
conv-way/577074555,way/577074555,relation/13844905-380,500,1200,'LINESTRING (14.125116758695864 42.39492255580486, 14.129295761345423 42.403483001224394)'
conv-way/636630368,way/636630368,way/636630368-400,320,1000,'LINESTRING (-1.194439480272105 50.81803563886026, -1.1943132571930706 50.81814424372004)'
conv-way/642490160,way/642490160,way/310502642-400,515,1400,'LINESTRING (-1.5404269162550226 55.146475961917986, -1.5312182811143855 55.14106730925334)'
conv-way/655858864,way/655858864,way/942640207-380,320,700,'LINESTRING (6.867110161353447 53.43563175554328, 6.86857117953898 53.437400544365346)'
conv-way/665827369,way/665827369,way/665827369-400,500,1200,'LINESTRING (18.79501175255075 42.31774151911776, 18.794870233664334 42.31765760954304)'
conv-way/69412925,way/69412925,way/69412925-400,400,600,'LINESTRING (10.505724427906852 55.3659701435436, 10.505724427906854 55.3659701455785)'
conv-way/753113423,way/753113423,way/85895367-400,320,1000,'LINESTRING (-0.2620112943028184 49.11086276420387, -0.264752861888197 49.10746530460309)'
conv-way/775577827,way/775577827,way/68589514-400,320,1000,'LINESTRING (1.7805520333344027 50.92022947143002, 1.783408417057333 50.92032143268811)'
conv-way/775577829,way/775577829,way/775577829-400,320,1000,'LINESTRING (1.1448358124246543 51.09844688040387, 1.1449680724783475 51.09855294085778)'
conv-way/870598507,way/870598507,way/870598507-380,320,1000,'LINESTRING (6.452760316105343 50.87178888903771, 6.458786205696756 50.871605827313786)'
conv-way/90098783,way/90098783,way/90098783-330,300,700,'LINESTRING (21.257621860612392 55.68194748266607, 21.257621860612417 55.68194748465538)'
conv-way/920127890,way/920127890,way/920127890-380,450,1000,'LINESTRING (4.021609637881493 51.95695895697931, 4.022206682809479 51.95508818099948)'
conv-way/940919943,way/940919943,way/32063539-380,400,600,'LINESTRING (12.216358213321973 54.10058182532585, 12.214246379237379 54.099866925282356)'
conv-way/98216482,way/98216482,way/98216482-400,300,680,'LINESTRING (10.08956852783998 57.062844486875186, 10.08956852783996 57.06284448868374)'
conv-way/99220741,way/99220741,way/1284726676-400,320,700,'LINESTRING (8.703787620907972 55.52992531232409, 8.707258227371073 55.53180954088812)'
